         translation_key          |                                 en                                  |                                               de                                               |                                         tr                                         
----------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------
 admin.allHouseholds              | All Households                                                      | Alle Haushalte                                                                                 | Tüm Haneler
 admin.allUsers                   | All Users                                                           | Alle Benutzer                                                                                  | Tüm Kullanıcılar
 admin.assignedHousehold          | Assigned Household                                                  | Zugewiesener Haushalt                                                                          | Atanmış Hane
 admin.canEdit                    | Can Edit                                                            | Kann bearbeiten                                                                                | Düzenleyebilir
 admin.canViewContracts           | Can View Contracts                                                  | Kann Verträge anzeigen                                                                         | Sözleşmeleri Görüntüleyebilir
 admin.canViewIncome              | Can View Income                                                     | Kann Einkommen anzeigen                                                                        | Geliri Görüntüleyebilir
 admin.createHousehold            | Create Household                                                    | Haushalt erstellen                                                                             | Hane Oluştur
 admin.createUser                 | Create User                                                         | Benutzer erstellen                                                                             | Kullanıcı Oluştur
 admin.deleteHousehold            | Delete Household                                                    | Haushalt löschen                                                                               | Hane Sil
 admin.deleteUser                 | Delete User                                                         | Benutzer löschen                                                                               | Kullanıcı Sil
 admin.editUser                   | Edit User                                                           | Benutzer bearbeiten                                                                            | Kullanıcı Düzenle
 admin.resetPassword              | Reset Password                                                      | Passwort zurücksetzen                                                                          | Şifre Sıfırla
 admin.securityDashboard          | Security Dashboard                                                  | Sicherheits-Dashboard                                                                          | Güvenlik Panelim
 admin.title                      | Admin Panel                                                         | Admin-Panel                                                                                    | Yönetici Paneli
 admin.translations               | Translations                                                        | Übersetzungen                                                                                  | Çeviriler
 admin.unlockAccount              | Unlock Account                                                      | Konto entsperren                                                                               | Hesabı Aç
 admin.updateHousehold            | Update Household                                                    | Haushalt aktualisieren                                                                         | Hane Güncelle
 admin.userManagement             | User Management                                                     | Benutzerverwaltung                                                                             | Kullanıcı Yönetimi
 assets.addAsset                  | Add Asset                                                           | Vermögen hinzufügen                                                                            | Varlık Ekle
 assets.assetName                 | Asset Name                                                          | Vermögensname                                                                                  | Varlık Adı
 assets.assetType                 | Asset Type                                                          | Vermögenstyp                                                                                   | Varlık Türü
 assets.assetValue                | Asset Value                                                         | Vermögenswert                                                                                  | Varlık Değeri
 assets.deleteAsset               | Delete Asset                                                        | Vermögen löschen                                                                               | Varlık Sil
 assets.editAsset                 | Edit Asset                                                          | Vermögen bearbeiten                                                                            | Varlık Düzenle
 assets.title                     | Assets                                                              | Vermögen                                                                                       | Varlıklar
 auth.completeRegistration        | Complete Registration                                               | Registrierung abschließen                                                                      | Kayıt İşlemini Tamamla
 auth.createAccount               | Create Account                                                      | Konto erstellen                                                                                | Hesap Oluştur
 auth.email                       | Email                                                               | E-Mail                                                                                         | E-posta
 auth.invalidCredentials          | Invalid email or password                                           | Ungültige E-Mail oder Passwort                                                                 | Geçersiz e-posta veya şifre
 auth.invitationToken             | Invitation Token                                                    | Einladungstoken                                                                                | Davet Kodu
 auth.login                       | Login                                                               | Anmelden                                                                                       | Giriş Yap
 auth.loginButton                 | Sign In                                                             | Anmelden                                                                                       | Giriş Yap
 auth.loginSuccess                | Login successful                                                    | Anmeldung erfolgreich                                                                          | Giriş başarılı
 auth.logout                      | Logout                                                              | Abmelden                                                                                       | Çıkış Yap
 auth.password                    | Password                                                            | Passwort                                                                                       | Şifre
 auth.register                    | Register                                                            | Registrieren                                                                                   | Kayıt Ol
 auth.registrationSuccess         | Registration completed successfully                                 | Registrierung erfolgreich abgeschlossen                                                        | Kayıt başarıyla tamamlandı
 common.add                       | Add                                                                 | Hinzufügen                                                                                     | Ekle
 common.cancel                    | Cancel                                                              | Abbrechen                                                                                      | İptal
 common.close                     | Close                                                               | Schließen                                                                                      | Kapat
 common.confirm                   | Confirm                                                             | Bestätigen                                                                                     | Onayla
 common.delete                    | Delete                                                              | Löschen                                                                                        | Sil
 common.edit                      | Edit                                                                | Bearbeiten                                                                                     | Düzenle
